d1[mm],d_cross2[mm],d2[mm],d_cross1[mm],printerError[mm],orientation_deg,centroid_offset
11,206,22,189,5,8.474034,9.407444
9,201,18,191,6,12.742186,0.000000
10,206,23,189,7,8.592228,9.721111
11,204,21,190,6,10.260930,0.000000
10,206,22,191,6,2.506240,16.530275
11,203,22,191,6,10.540226,0.000000
9,205,18,190,5,7.595734,5.522681
11,202,21,194,4,6.665616,12.186058
10,205,19,190,5,7.899288,6.670832
12,203,22,191,6,10.631712,0.000000
11,206,19,190,7,5.446564,12.349089
10,205,19,191,4,5.515418,11.821590
