property,value
device_path,/dev/video4
camera_index,4
DEVPATH,/devices/pci0000:00/0000:00:08.3/0000:65:00.4/usb7/7-1/7-1.3/7-1.3:1.0/video4linux/video4
DEVNAME,/dev/video4
MAJOR,81
MINOR,4
SUBSYSTEM,video4linux
USEC_INITIALIZED,2015718
ID_V4L_VERSION,2
ID_V4L_PRODUCT,GENERAL WEBCAM: GENERAL WEBCAM
ID_V4L_CAPABILITIES,:capture:
ID_BUS,usb
ID_MODEL,GENERAL_WEBCAM
ID_MODEL_ENC,GENERAL\x20WEBCAM
ID_MODEL_ID,2247
ID_SERIAL,GENERAL_GENERAL_WEBCAM_JH0319_20200710_v012
ID_SERIAL_SHORT,JH0319_20200710_v012
ID_VENDOR,GENERAL
ID_VENDOR_ENC,GENERAL
ID_VENDOR_ID,1b3f
ID_REVISION,0100
ID_TYPE,video
ID_USB_MODEL,GENERAL_WEBCAM
ID_USB_MODEL_ENC,GENERAL\x20WEBCAM
ID_USB_MODEL_ID,2247
ID_USB_SERIAL,GENERAL_GENERAL_WEBCAM_JH0319_20200710_v012
ID_USB_SERIAL_SHORT,JH0319_20200710_v012
ID_USB_VENDOR,GENERAL
ID_USB_VENDOR_ENC,GENERAL
ID_USB_VENDOR_ID,1b3f
ID_USB_REVISION,0100
ID_USB_TYPE,video
ID_USB_INTERFACES,:0e0100:0e0200:010100:010200:
ID_USB_INTERFACE_NUM,00
ID_USB_DRIVER,uvcvideo
ID_PATH_WITH_USB_REVISION,pci-0000:65:00.4-usbv2-0:1.3:1.0
ID_PATH,pci-0000:65:00.4-usb-0:1.3:1.0
ID_PATH_TAG,pci-0000_65_00_4-usb-0_1_3_1_0
ID_FOR_SEAT,video4linux-pci-0000_65_00_4-usb-0_1_3_1_0
COLORD_DEVICE,1
COLORD_KIND,camera
DEVLINKS,/dev/v4l/by-path/pci-0000:65:00.4-usb-0:1.3:1.0-video-index0 /dev/v4l/by-path/pci-0000:65:00.4-usbv2-0:1.3:1.0-video-index0 /dev/v4l/by-id/usb-GENERAL_GENERAL_WEBCAM_JH0319_20200710_v012-video-index0
TAGS,:uaccess:seat:
CURRENT_TAGS,:uaccess:seat:
usb_manufacturer,GENERAL
usb_product,GENERAL WEBCAM
usb_serial,JH0319_20200710_v012
usb_idVendor,1b3f
usb_idProduct,2247
usb_bcdDevice,0100
usb_speed,480
usb_version,2.00
usb_busnum,7
usb_devnum,3
resolution_width,640
resolution_height,480
