pose_i,tilt_deg,az_deg,dist_m,n_frames,Pmeas_x,Pmeas_y,Pmeas_z,Pcam_x,Pcam_y,Pcam_z,eef_x,eef_y,eef_z,q_be_x,q_be_y,q_be_z,q_be_w
0,0.0,0.0,0.25,19,0.052993,-0.553943,0.233933,0.00372,0.003779,0.262188,0.07966,-0.262274,0.286523,0.701595,-0.040937,-0.033869,0.710592
1,12.0,0.0,0.25,21,0.068068,-0.557707,0.236658,0.015568,0.005529,0.267879,0.021439,-0.262297,0.286651,0.701028,0.034003,0.039008,0.711254
2,12.0,90.0,0.25,19,0.041256,-0.55711,0.224117,-0.007582,-0.002576,0.267646,0.076759,-0.279511,0.343447,0.771556,-0.043889,-0.029074,0.633979
3,12.0,180.0,0.25,17,0.042249,-0.545633,0.231785,-0.005574,0.001368,0.256512,0.135474,-0.274113,0.287817,0.69433,-0.115015,-0.106444,0.702387
4,12.0,270.0,0.25,19,0.059665,-0.551315,0.241745,0.009507,0.009039,0.261301,0.081129,-0.256563,0.227321,0.623531,-0.036335,-0.03738,0.780059
5,18.0,0.0,0.25,18,0.075781,-0.558013,0.236991,0.020779,0.006072,0.27172,-0.007668,-0.266537,0.286384,0.698253,0.071667,0.076141,0.708173
6,18.0,90.0,0.25,19,0.031904,-0.552635,0.214818,-0.017858,-0.010818,0.26811,0.075569,-0.292022,0.370915,0.803772,-0.045621,-0.026686,0.592585
7,18.0,180.0,0.25,21,0.038057,-0.540958,0.231015,-0.010699,0.000623,0.254452,0.162935,-0.284666,0.288203,0.687841,-0.150713,-0.143096,0.695474
8,18.0,270.0,0.25,18,0.061843,-0.546486,0.24903,0.011742,0.015672,0.259298,0.080757,-0.258646,0.19812,0.581683,-0.034288,-0.0394,0.811737
9,0.0,0.0,0.2,18,0.056947,-0.550851,0.234433,0.007754,0.0037,0.208823,0.074153,-0.311776,0.287481,0.701206,-0.040447,-0.034495,0.710974
10,12.0,0.0,0.2,20,0.069062,-0.553963,0.236034,0.017097,0.004867,0.215474,0.026287,-0.310806,0.287362,0.700933,0.03398,0.039142,0.711341
11,12.0,90.0,0.2,21,0.048384,-0.554194,0.226687,-4.8e-05,-0.000799,0.214217,0.071018,-0.327796,0.334253,0.772076,-0.043748,-0.029001,0.633359
12,12.0,180.0,0.2,18,0.046461,-0.544894,0.232367,-0.002314,0.001494,0.204765,0.120659,-0.321496,0.28827,0.693802,-0.114206,-0.10678,0.70299
13,12.0,270.0,0.2,18,0.061304,-0.547481,0.240337,0.010824,0.007907,0.206678,0.075745,-0.305324,0.238733,0.623016,-0.036598,-0.037879,0.780434
14,18.0,0.0,0.2,15,0.075017,-0.55331,0.236662,0.021301,0.005757,0.216626,0.002587,-0.315827,0.287365,0.698594,0.071343,0.076225,0.707861
15,18.0,90.0,0.2,17,0.041218,-0.552076,0.220216,-0.008448,-0.005625,0.213901,0.07038,-0.340624,0.355496,0.804155,-0.045006,-0.026635,0.592115
16,18.0,180.0,0.2,18,0.04347,-0.538578,0.231254,-0.006377,0.000679,0.200842,0.142803,-0.329606,0.288788,0.687649,-0.151209,-0.143318,0.69551
17,18.0,270.0,0.2,17,0.062961,-0.544812,0.243341,0.013374,0.010999,0.20622,0.075174,-0.305322,0.213813,0.581621,-0.034984,-0.039882,0.811728
18,0.0,0.0,0.15,20,0.060189,-0.547479,0.234497,0.011585,0.00392,0.15542,0.067906,-0.361074,0.287918,0.701048,-0.040733,-0.034465,0.711116
19,12.0,0.0,0.15,20,0.070414,-0.549506,0.235825,0.019574,0.00442,0.15989,0.03093,-0.361878,0.288424,0.701023,0.033513,0.039311,0.711266
20,12.0,90.0,0.15,18,0.053662,-0.549982,0.228635,0.004509,1.9e-05,0.158262,0.066268,-0.377399,0.324108,0.771739,-0.043396,-0.029299,0.633781
21,12.0,180.0,0.15,21,0.05165,-0.541796,0.23266,0.002115,0.002228,0.150686,0.10513,-0.368576,0.288555,0.694146,-0.11418,-0.107387,0.702562
22,12.0,270.0,0.15,12,0.063557,-0.543801,0.238953,0.013497,0.007243,0.152554,0.069875,-0.353729,0.25013,0.623366,-0.036919,-0.037695,0.780148
23,18.0,0.0,0.15,18,0.075986,-0.550003,0.235796,0.023645,0.004756,0.164635,0.012289,-0.363674,0.287872,0.697998,0.071116,0.075566,0.708542
24,18.0,90.0,0.15,15,0.047435,-0.548847,0.223031,-0.001554,-0.005561,0.160377,0.064831,-0.387513,0.342243,0.804113,-0.045151,-0.027165,0.592137
25,18.0,180.0,0.15,16,0.048032,-0.538289,0.231219,-0.003245,-0.00017,0.148638,0.123171,-0.375663,0.289895,0.687647,-0.151197,-0.143062,0.695567
26,18.0,270.0,0.15,18,0.064648,-0.541706,0.240943,0.014871,0.009417,0.153051,0.069903,-0.351596,0.230182,0.582119,-0.034451,-0.040113,0.811383

# per_pose_fit_resid_m,0.001602,0.006779,0.007552,0.004149,0.006208,0.008941,0.015796,0.005837,0.006275,0.001662,0.005046,0.005939,0.002877,0.004676,0.006611,0.010733,0.004958,0.005659,0.002373,0.004518,0.006107,0.002379,0.003951,0.005337,0.009103,0.004435,0.005448
# delta_eef_m,0.002213,-0.01896,-0.025688
# eps_cam_deg,-0.4181,3.4981,11.5794
# depth_scale_err,-0.097876
# P_true_base_m,0.07424,-0.505494,0.216696
# current_net_t_ec_m,0.0,-0.06,0.03
# new_total_correction_m,0.002213,-0.01896,-0.025688
# condition_number,123.442
# spread_rms_before_m,0.015134,spread_rms_after_m,0.006437
