marker_id,scan_distance,movement_id,px,py,pz,qx,qy,qz,qw,cam_px,cam_py,cam_pz,cam_qx,cam_qy,cam_qz,cam_qw
2,0.2625,1,0.158607,-0.610797,0.057616,-0.05967,0.695564,0.715315,-0.030895,-0.004175,0.033092,0.2536,-0.999871,-0.013377,-0.006615,0.00593
2,0.2625,1,0.158598,-0.610697,0.057729,-0.058944,0.693452,0.717427,-0.030797,-0.00418,0.032982,0.253495,-0.999892,-0.013118,-0.006005,0.002928
2,0.2625,1,0.15864,-0.610916,0.057741,-0.061375,0.691198,0.719298,-0.032995,-0.004197,0.032963,0.253717,-0.999867,-0.01339,-0.009272,-2e-06
2,0.225,2,0.158863,-0.621142,0.083687,-0.065636,0.655794,0.750943,-0.041375,-0.000166,-0.008623,0.227078,0.998242,0.000827,0.00972,0.058454
2,0.1875,3,0.157813,-0.620048,0.077807,-0.065547,0.677852,0.731511,-0.033362,0.001637,-0.000893,0.188402,0.999665,0.004299,0.003432,0.025294
2,0.1875,3,0.1578,-0.619928,0.077818,-0.064616,0.671098,0.737799,-0.033244,0.001633,-0.000901,0.188281,0.999391,0.004351,0.002522,0.03452
2,0.1875,3,0.157809,-0.619972,0.077831,-0.06614,0.674075,0.734864,-0.03498,0.001631,-0.000915,0.188326,0.999518,0.003896,0.004902,0.030407
2,0.1875,3,0.157808,-0.619992,0.077816,-0.066807,0.673977,0.734876,-0.035339,0.001635,-0.0009,0.188346,0.999511,0.004111,0.005631,0.030485
2,0.1875,3,0.157799,-0.620021,0.077809,-0.066872,0.677336,0.731794,-0.034932,0.001648,-0.000894,0.188373,0.999641,0.004142,0.005472,0.025912
2,0.1875,3,0.157791,-0.619911,0.077823,-0.066247,0.669947,0.738622,-0.034921,0.00164,-0.000906,0.188263,0.999332,0.004386,0.004842,0.035965
2,0.15,4,0.155875,-0.619492,0.079634,-0.064869,0.693351,0.717084,-0.029094,0.00181,-0.002545,0.149812,-0.999828,-0.002124,0.003011,0.018171
2,0.15,4,0.155846,-0.619468,0.07964,-0.066787,0.688031,0.721915,-0.031486,0.001835,-0.002551,0.149784,-0.999938,-0.002194,0.000118,0.010914
2,0.15,4,0.155825,-0.619403,0.079605,-0.06944,0.700564,0.709468,-0.0323,0.001849,-0.002512,0.14972,-0.999586,-0.002168,-0.002754,0.028559
2,0.15,4,0.155865,-0.619525,0.079644,-0.06505,0.689581,0.720692,-0.029154,0.001824,-0.002558,0.149843,-0.999908,-0.002571,0.002945,0.012969
2,0.15,4,0.15587,-0.619528,0.079638,-0.066721,0.690206,0.719893,-0.030312,0.00182,-0.002552,0.149847,-0.999898,-0.002795,0.000908,0.01395
2,0.15,4,0.155879,-0.619455,0.079667,-0.064211,0.686525,0.723654,-0.029753,0.001799,-0.002575,0.149774,-0.999956,-0.001862,0.003239,0.008658
2,0.15,5,0.155267,-0.620139,0.08502,-0.065272,0.696684,0.713747,-0.03059,0.001136,-0.006936,0.150541,-0.999965,0.000309,-0.000286,0.008323
2,0.15,5,0.155257,-0.620159,0.085031,-0.067181,0.69829,0.711969,-0.03126,0.001149,-0.006948,0.150559,-0.99994,-0.000368,-0.002188,0.010722
2,0.15,5,0.155249,-0.620152,0.085038,-0.069409,0.694156,0.715658,-0.034113,0.001155,-0.006956,0.150551,-0.999971,-0.000237,-0.005649,0.005082
2,0.15,5,0.155251,-0.620092,0.085064,-0.067237,0.687763,0.722009,-0.034133,0.001144,-0.006979,0.150491,0.999984,-0.000667,0.003883,0.003973
2,0.15,5,0.155249,-0.620156,0.08504,-0.070106,0.691221,0.718372,-0.035208,0.001156,-0.006958,0.150554,-0.999976,-0.000204,-0.00682,0.001046
2,0.15,5,0.155212,-0.619989,0.085044,-0.071198,0.682331,0.726635,-0.03684,0.00117,-0.006956,0.150384,0.999902,0.000615,0.008469,0.011131
2,0.15,6,0.15565,-0.619706,0.082311,-0.066108,0.696388,0.713968,-0.03039,0.000319,0.002008,0.149337,-0.999976,-0.000417,0.001395,0.00682
2,0.15,6,0.155675,-0.619749,0.082276,-0.066504,0.7006,0.709838,-0.029459,0.000302,0.002042,0.149385,-0.999917,-0.000947,0.001614,0.012777
2,0.15,6,0.155648,-0.619563,0.082236,-0.064679,0.712341,0.698359,-0.026106,0.000305,0.002089,0.149198,-0.999558,-0.000944,0.004857,0.029316
2,0.15,6,0.155628,-0.619623,0.082262,-0.070034,0.708358,0.701653,-0.031726,0.000331,0.002059,0.149254,-0.999708,-0.00098,-0.002786,0.023974
2,0.15,6,0.155644,-0.619599,0.082283,-0.06407,0.703232,0.707551,-0.027045,0.000311,0.00204,0.149231,-0.999854,-0.00075,0.004965,0.016332
