d1[mm],d_cross2[mm],d2[mm],d_cross1[mm],printerError[mm],orientation_deg,centroid_offset
15,212,23,185,0,0.000000,19.416488
11,201,23,188,9,16.715114,0.000000
9,205,14,190,11,6.851888,0.000000
12,202,22,194,6,7.068969,12.845233
13,209,23,186,13,8.339079,11.905881
13,209,23,191,4,0.000000,18.681542
11,207,22,187,13,10.016005,1.936492
12,204,22,189,4,11.949273,0.000000
12,208,23,187,9,8.434271,11.157957
11,200,18,192,3,12.932938,0.000000
11,207,22,189,12,6.093460,13.847382
10,202,19,192,3,10.041183,0.000000
