d1[mm],d_cross2[mm],d2[mm],d_cross1[mm],printerError[mm],orientation_deg,centroid_offset
11,205,21,190,3,8.419312,8.351647
8,203,21,189,7,12.913334,0.000000
10,206,22,190,5,6.182307,13.341664
14,206,28,189,6,10.166145,13.500000
10,205,20,191,10,5.804385,12.227019
14,204,27,190,4,11.656325,7.632169
10,204,21,191,10,8.454176,7.582875
14,201,27,191,3,14.363721,0.000000
9,209,21,191,13,0.000000,16.155494
13,203,23,191,4,10.905481,0.000000
9,209,18,191,10,0.000000,14.230249
12,201,23,194,6,9.360321,8.689074
