timestamp,call_chain,duration_s
2026-04-23T15:52:48.556164,transferPlate > scanToMarker,3.424
2026-04-23T15:52:53.848394,transferPlate > pickupPlate > moveToMarker,5.2878
2026-04-23T15:52:59.844006,transferPlate > pickupPlate,11.2835
2026-04-23T15:53:08.552574,transferPlate > placePlate,8.7059
2026-04-23T15:53:16.855297,transferPlate > scanToMarker,5.6849
2026-04-23T15:53:21.266915,transferPlate > pickupPlate > moveToMarker,4.4081
2026-04-23T15:53:27.468791,transferPlate > pickupPlate,10.6099
2026-04-23T15:53:35.306663,transferPlate > placePlate,7.833
2026-04-23T15:53:39.529947,transferPlate,54.401
2026-04-23T15:53:48.420799,transferPlate > scanToMarker,3.1926
2026-04-23T15:53:53.535319,transferPlate > pickupPlate > moveToMarker,5.1103
2026-04-23T15:53:59.658323,transferPlate > pickupPlate,11.2334
2026-04-23T15:54:07.596270,transferPlate > placePlate,7.9345
2026-04-23T15:54:15.697516,transferPlate > scanToMarker,5.7361
2026-04-23T15:54:20.748160,transferPlate > pickupPlate > moveToMarker,5.0473
2026-04-23T15:54:27.296102,transferPlate > pickupPlate,11.5952
2026-04-23T15:54:35.325782,transferPlate > placePlate,8.022
2026-04-23T15:54:39.476112,transferPlate,54.252
2026-04-23T15:54:55.450639,transferPlate > scanToMarker,3.0523
2026-04-23T15:55:00.683253,transferPlate > pickupPlate > moveToMarker,5.2276
2026-04-23T15:55:06.773811,transferPlate > pickupPlate,11.3181
2026-04-23T15:55:15.357292,transferPlate > placePlate,8.5787
2026-04-23T15:55:23.701126,transferPlate > scanToMarker,5.6621
2026-04-23T15:55:28.061083,transferPlate > pickupPlate > moveToMarker,4.3503
2026-04-23T15:55:34.237353,transferPlate > pickupPlate,10.5266
2026-04-23T15:55:42.231351,transferPlate > placePlate,7.9882
2026-04-23T15:55:46.380246,transferPlate,53.9846
2026-04-23T15:55:56.267662,transferPlate > scanToMarker,2.9572
2026-04-23T15:56:01.605765,transferPlate > pickupPlate > moveToMarker,5.3344
2026-04-23T15:56:07.711211,transferPlate > pickupPlate,11.4399
2026-04-23T15:56:15.716082,transferPlate > placePlate,7.9918
2026-04-23T15:56:23.785360,transferPlate > scanToMarker,5.6283
2026-04-23T15:56:28.694379,transferPlate > pickupPlate > moveToMarker,4.9065
