timestamp,call_chain,duration_s
2026-04-23T14:17:55.686930,scanMarkerApproach > scanToMarker,5.8356
2026-04-23T14:18:01.760643,scanMarkerApproach > scanToMarker,4.0716
2026-04-23T14:18:06.467601,scanMarkerApproach > scanToMarker,3.6118
2026-04-23T14:18:11.230512,scanMarkerApproach > scanToMarker,3.7551
2026-04-23T14:18:15.557289,scanMarkerApproach > scanToMarker,3.3195
2026-04-23T14:18:16.672288,scanMarkerApproach,26.821
2026-04-23T14:18:22.623977,scanMarkerApproach > scanToMarker,5.9516
2026-04-23T14:18:29.694344,scanMarkerApproach > scanToMarker,4.9162
2026-04-23T14:18:34.650335,scanMarkerApproach > scanToMarker,3.8287
2026-04-23T14:18:39.679077,scanMarkerApproach > scanToMarker,4.0202
2026-04-23T14:18:43.687344,scanMarkerApproach > scanToMarker,3.008
2026-04-23T14:18:44.688397,scanMarkerApproach,28.016
2026-04-23T14:18:49.699992,startup,61.256
