marker_id,scan_distance,movement_id,px,py,pz,qx,qy,qz,qw,cam_px,cam_py,cam_pz,cam_qx,cam_qy,cam_qz,cam_qw
2,0.15,1,0.138242,-0.586487,0.072958,-0.031968,0.723528,0.689274,-0.019648,0.000491,-0.003711,0.105216,0.999714,0.005793,-0.015783,0.017006
2,0.15,1,0.138274,-0.586683,0.072942,-0.042767,0.719745,0.692319,-0.028867,0.00048,-0.003678,0.105412,0.999731,0.007748,-0.001694,0.021788
2,0.15,1,0.138286,-0.586847,0.072759,-0.044205,0.741021,0.669361,-0.029823,0.000485,-0.003482,0.105561,-0.999934,-0.006537,-0.000142,0.009482
2,0.15,1,0.138366,-0.586822,0.07277,-0.031022,0.744324,0.666897,-0.016349,0.000404,-0.003494,0.105545,-0.999716,-0.005744,0.018692,0.013597
2,0.15,1,0.138207,-0.586691,0.072942,-0.044831,0.71936,0.69241,-0.032854,0.000548,-0.003679,0.105413,0.999728,0.006587,0.002642,0.0222
2,0.15,1,0.138426,-0.586825,0.07295,-0.027439,0.722677,0.690625,-0.004742,0.000344,-0.003673,0.105569,0.999311,0.012622,-0.029823,0.01815
2,0.15,1,0.138429,-0.586567,0.073077,-0.022165,0.704941,0.708863,-0.008936,0.000314,-0.003821,0.105324,0.998547,0.007232,-0.030406,0.043891
2,0.15,1,0.13834,-0.586223,0.072996,-0.02758,0.701384,0.712065,-0.016196,0.000367,-0.003769,0.104967,0.99856,0.006551,-0.021411,0.048745
2,0.15,1,0.138617,-0.586845,0.072773,-0.005281,0.745931,0.665895,0.011969,0.000156,-0.003492,0.105594,-0.998239,-0.005877,0.056925,0.015635
2,0.15,1,0.138359,-0.586663,0.073023,-0.028135,0.713778,0.699634,-0.01556,0.000394,-0.00376,0.105408,0.999263,0.006477,-0.021446,0.031185
2,0.15,1,0.138149,-0.586465,0.072951,-0.045909,0.710917,0.700864,-0.035775,0.000582,-0.003706,0.105184,0.999382,0.006025,0.005479,0.034198
2,0.15,1,0.138172,-0.586355,0.073045,-0.043926,0.698773,0.713184,-0.033992,0.000547,-0.003809,0.105085,0.998649,0.006672,0.002767,0.051462
2,0.15,2,0.145735,-0.589302,0.079752,-0.026049,0.747035,0.663807,0.024922,-0.001141,-0.005647,0.108198,-0.998588,-0.01253,0.04465,0.025901
2,0.15,2,0.14573,-0.589296,0.07979,-0.029528,0.751261,0.658807,0.026612,-0.001138,-0.005685,0.108194,-0.998402,-0.015936,0.043353,0.032572
2,0.15,2,0.145553,-0.589793,0.079817,-0.062539,0.7498,0.658639,-0.009151,-0.000917,-0.005687,0.108674,-0.999394,-0.01574,-0.005288,0.030597
2,0.15,2,0.145519,-0.589624,0.080023,-0.050695,0.72332,0.688649,0.001388,-0.000907,-0.005904,0.108518,0.999765,0.016039,-0.011424,0.009072
2,0.15,2,0.145511,-0.589689,0.079783,-0.060287,0.741166,0.668472,-0.013514,-0.000883,-0.005661,0.108565,-0.99976,-0.011699,-0.006629,0.01729
2,0.15,2,0.145532,-0.589684,0.079932,-0.055593,0.726426,0.68497,-0.005523,-0.00091,-0.00581,0.108572,0.999878,0.014697,-0.002922,0.004508
2,0.15,2,0.145416,-0.589694,0.079877,-0.075511,0.730826,0.677744,-0.029235,-0.000792,-0.005759,0.108568,-0.999516,-0.012752,-0.028227,0.003002
2,0.15,2,0.145598,-0.589797,0.07994,-0.049007,0.728739,0.683034,0.001335,-0.000966,-0.005807,0.108691,0.999819,0.014418,-0.012367,0.001311
2,0.15,2,0.145545,-0.589745,0.079916,-0.052839,0.732474,0.678721,-0.005169,-0.000917,-0.005789,0.108633,-0.999901,-0.012534,0.004869,0.004145
2,0.15,2,0.145417,-0.589713,0.07988,-0.072447,0.731064,0.67767,-0.032552,-0.000791,-0.005761,0.108587,-0.999554,-0.008242,-0.028561,0.003009
2,0.15,2,0.14549,-0.590093,0.079813,-0.078334,0.744408,0.662647,-0.024912,-0.000827,-0.005666,0.108967,-0.999204,-0.016858,-0.027466,0.023532
2,0.15,3,0.145431,-0.590316,0.079596,-0.061988,0.713581,0.697461,-0.022522,0.003807,-0.001841,0.106714,0.999545,0.001536,0.010492,0.028245
2,0.15,3,0.14541,-0.59057,0.07954,-0.064779,0.73192,0.677261,-0.037618,0.003855,-0.001767,0.106959,0.999672,-0.007929,0.024285,0.001784
2,0.15,3,0.145465,-0.590655,0.079638,-0.047385,0.718652,0.693569,-0.016021,0.003804,-0.001855,0.107056,0.999741,-0.005098,-0.004031,0.021812
2,0.15,3,0.145561,-0.590438,0.079308,-0.051486,0.758532,0.649567,-0.00649,0.003704,-0.001537,0.106823,-0.999254,-0.001576,0.00643,0.038052
2,0.15,3,0.145459,-0.59052,0.079422,-0.05138,0.739587,0.670911,-0.015806,0.003808,-0.001651,0.106905,-0.999953,0.003482,0.000555,0.009058
2,0.15,3,0.145428,-0.590057,0.079706,-0.05583,0.701498,0.710182,-0.020618,0.003778,-0.001971,0.106465,0.998943,-0.000852,0.004408,0.045746
2,0.15,3,0.145458,-0.590458,0.079637,-0.053249,0.714189,0.69758,-0.021923,0.003792,-0.00187,0.10686,0.999589,-0.004497,0.004116,0.028013
2,0.15,3,0.145481,-0.590278,0.079516,-0.053959,0.732095,0.679019,-0.007608,0.003758,-0.001761,0.106674,0.999976,0.004487,-0.005151,0.001483
2,0.15,3,0.145393,-0.590287,0.079534,-0.065333,0.726668,0.683434,-0.024558,0.003844,-0.001783,0.106676,0.999847,0.001699,0.014824,0.009154
2,0.15,3,0.145471,-0.590592,0.079403,-0.061498,0.7452,0.663809,-0.015874,0.003804,-0.001626,0.106975,-0.999806,-0.003486,-0.006655,0.01821
2,0.15,3,0.145453,-0.590289,0.079599,-0.054803,0.719325,0.692265,-0.018371,0.003782,-0.001844,0.106688,0.999787,-0.001305,0.002779,0.02042
2,0.15,3,0.145443,-0.590314,0.079646,-0.052545,0.708569,0.703573,-0.012447,0.003792,-0.00189,0.106717,0.999354,0.001798,-0.003553,0.035712
2,0.15,4,0.137397,-0.592646,0.084254,0.003535,-0.755414,-0.65328,0.050627,0.003653,-0.003505,0.106582,-0.998979,0.032298,0.011413,0.02946
2,0.15,4,0.137256,-0.592423,0.084157,0.017724,-0.739548,-0.669373,0.068516,0.003765,-0.003594,0.106379,-0.999373,0.032792,-0.011381,0.006994
2,0.15,4,0.137451,-0.592432,0.084509,0.003955,-0.723033,-0.689157,0.047647,0.00358,-0.003777,0.106396,0.999359,-0.027506,-0.013296,0.018686
2,0.15,4,0.13727,-0.592283,0.084085,0.015386,-0.770448,-0.634394,0.060968,0.003741,-0.003367,0.106196,-0.998046,0.031817,-0.004268,0.053608
2,0.15,4,0.137475,-0.592143,0.084489,-0.008327,-0.713324,-0.699724,0.038552,0.003526,-0.003782,0.10611,0.99861,-0.029644,-0.028274,0.033178
2,0.15,4,0.137298,-0.592264,0.084259,0.006749,-0.73785,-0.672447,0.057846,0.003713,-0.003541,0.106193,-0.999426,0.033493,0.003913,0.003375
2,0.15,4,0.137405,-0.592222,0.084428,-0.005014,-0.710488,-0.702252,0.04499,0.003604,-0.003714,0.106177,0.998594,-0.031372,-0.02128,0.037045
2,0.15,4,0.137243,-0.592159,0.084306,0.013627,-0.736854,-0.673114,0.061462,0.003757,-0.003597,0.106088,-0.999516,0.030826,-0.003412,0.002352
2,0.15,4,0.137365,-0.592207,0.084163,0.005313,-0.751754,-0.657445,0.051038,0.003639,-0.003451,0.106137,-0.999183,0.030986,0.009909,0.023979
2,0.15,4,0.137208,-0.592139,0.084151,0.012421,-0.752357,-0.655533,0.063888,0.003789,-0.003444,0.106052,-0.999065,0.034551,-0.004382,0.025627
2,0.15,5,0.135977,-0.592012,0.082683,0.019299,-0.728472,-0.679568,0.084513,-0.001898,-0.000468,0.104897,0.999346,-0.014369,0.030675,0.012657
2,0.15,5,0.135884,-0.592162,0.082749,0.024855,-0.723576,-0.68353,0.092777,-0.001789,-0.000514,0.105044,0.998875,-0.015559,0.040729,0.018666
2,0.15,5,0.136186,-0.592125,0.08251,-0.008988,-0.744797,-0.665036,0.054072,-0.002107,-0.000297,0.105013,-0.999779,0.015743,0.011525,0.007876
2,0.15,5,0.136199,-0.591764,0.082385,-0.019977,-0.752887,-0.656766,0.037701,-0.002159,-0.000208,0.104644,-0.999238,0.013378,0.031342,0.019012
2,0.15,5,0.136145,-0.591897,0.082543,-0.010544,-0.738992,-0.671668,0.051401,-0.002084,-0.000349,0.104786,0.999789,-0.014695,-0.014308,0.000978
2,0.15,5,0.136134,-0.592497,0.082513,-0.002249,-0.746623,-0.662182,0.063751,-0.002024,-0.000261,0.105378,-0.999782,0.017432,-8.6e-05,0.011466
2,0.15,5,0.136185,-0.591958,0.082431,-0.012086,-0.752972,-0.656246,0.047205,-0.002125,-0.000234,0.10484,-0.999526,0.01396,0.019018,0.019769
2,0.15,5,0.136093,-0.592162,0.082565,-0.005182,-0.740458,-0.669508,0.058774,-0.002008,-0.000343,0.105046,-0.999859,0.015813,0.005313,0.001809
2,0.15,5,0.135923,-0.591979,0.08264,0.021695,-0.731553,-0.675258,0.091578,-0.00185,-0.000426,0.104856,0.999119,-0.0176,0.037387,0.007349
2,0.15,5,0.135932,-0.591946,0.082733,0.021187,-0.722063,-0.685762,0.088919,-0.001856,-0.000521,0.104833,0.999019,-0.015547,0.03547,0.021485
2,0.15,5,0.135939,-0.591952,0.082435,0.013472,-0.75299,-0.653858,0.072762,-0.001881,-0.000226,0.104811,-0.999522,0.012366,-0.017056,0.022623
